Mo 29. Okt 18:04:33 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540832100.csv (18233879 entries, 2.65 G, cost 263471855 usec, 67.58 K/s)
Mo 29. Okt 18:11:07 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540832400.csv (17267952 entries, 2.51 G, cost 357157225 usec, 47.21 K/s)
Mo 29. Okt 18:15:18 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540832700.csv (16135662 entries, 2.35 G, cost 250268235 usec, 62.96 K/s)
Mo 29. Okt 18:19:15 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540833000.csv (17387419 entries, 2.53 G, cost 237468567 usec, 71.50 K/s)
Mo 29. Okt 18:23:59 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540833300.csv (16907996 entries, 2.46 G, cost 228762099 usec, 72.18 K/s)
Mo 29. Okt 18:29:09 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540833600.csv (16782106 entries, 2.44 G, cost 239010480 usec, 68.57 K/s)
Mo 29. Okt 18:34:06 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540833900.csv (16683158 entries, 2.43 G, cost 236802435 usec, 68.80 K/s)
Mo 29. Okt 18:39:05 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540834200.csv (16566611 entries, 2.42 G, cost 234194492 usec, 69.08 K/s)
Mo 29. Okt 18:43:58 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540834500.csv (16432660 entries, 2.40 G, cost 227956760 usec, 70.40 K/s)
Mo 29. Okt 18:48:54 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540834800.csv (16302397 entries, 2.38 G, cost 223611202 usec, 71.20 K/s)
Mo 29. Okt 18:54:10 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540835100.csv (16249408 entries, 2.37 G, cost 240717806 usec, 65.92 K/s)
Mo 29. Okt 18:58:51 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540835400.csv (16017511 entries, 2.34 G, cost 221676463 usec, 70.56 K/s)
Mo 29. Okt 19:04:27 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540835700.csv (15977286 entries, 2.33 G, cost 256614754 usec, 60.80 K/s)
Mo 29. Okt 19:10:38 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540836000.csv (15933462 entries, 2.33 G, cost 327941875 usec, 47.45 K/s)
Mo 29. Okt 19:14:44 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540836300.csv (14973000 entries, 2.19 G, cost 246203864 usec, 59.39 K/s)
Mo 29. Okt 19:18:53 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540836600.csv (16318899 entries, 2.39 G, cost 223287940 usec, 71.37 K/s)
Mo 29. Okt 19:23:43 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540836900.csv (15518900 entries, 2.27 G, cost 212122032 usec, 71.45 K/s)
Mo 29. Okt 19:28:54 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540837200.csv (15493462 entries, 2.27 G, cost 223644061 usec, 67.65 K/s)
Mo 29. Okt 19:33:51 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540837500.csv (15492425 entries, 2.27 G, cost 221256248 usec, 68.38 K/s)
Mo 29. Okt 19:38:44 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540837800.csv (15312655 entries, 2.24 G, cost 213613367 usec, 70.00 K/s)
Mo 29. Okt 19:43:43 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540838100.csv (15162061 entries, 2.22 G, cost 212955788 usec, 69.53 K/s)
Mo 29. Okt 19:48:38 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540838400.csv (15019607 entries, 2.20 G, cost 207797230 usec, 70.59 K/s)
Mo 29. Okt 19:53:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540838700.csv (15101747 entries, 2.21 G, cost 209388302 usec, 70.43 K/s)
Mo 29. Okt 19:58:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540839000.csv (15011978 entries, 2.20 G, cost 208952839 usec, 70.16 K/s)
Mo 29. Okt 20:04:11 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540839300.csv (14893356 entries, 2.18 G, cost 240544834 usec, 60.46 K/s)
Mo 29. Okt 20:10:22 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540839600.csv (14908473 entries, 2.18 G, cost 311405657 usec, 46.75 K/s)
Mo 29. Okt 20:14:56 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540839900.csv (13995880 entries, 2.05 G, cost 274014162 usec, 49.88 K/s)
Mo 29. Okt 20:18:32 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540840200.csv (14918657 entries, 2.18 G, cost 202335571 usec, 72.00 K/s)
Mo 29. Okt 20:23:56 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540840500.csv (14611732 entries, 2.14 G, cost 226461625 usec, 63.01 K/s)
Mo 29. Okt 20:28:30 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540840800.csv (14424181 entries, 2.11 G, cost 199717499 usec, 70.53 K/s)
Mo 29. Okt 20:33:30 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540841100.csv (14331259 entries, 2.10 G, cost 198539732 usec, 70.49 K/s)
Mo 29. Okt 20:38:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540841400.csv (14211642 entries, 2.08 G, cost 208139776 usec, 66.68 K/s)
Mo 29. Okt 20:43:35 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540841700.csv (14063147 entries, 2.06 G, cost 205624850 usec, 66.79 K/s)
Mo 29. Okt 20:48:24 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540842000.csv (13992061 entries, 2.05 G, cost 192300529 usec, 71.06 K/s)
Mo 29. Okt 20:53:19 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540842300.csv (13859888 entries, 2.03 G, cost 188900530 usec, 71.65 K/s)
Mo 29. Okt 20:58:20 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540842600.csv (13842118 entries, 2.03 G, cost 188695611 usec, 71.64 K/s)
Mo 29. Okt 21:04:12 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540842900.csv (13653880 entries, 2.00 G, cost 241920502 usec, 55.12 K/s)
Mo 29. Okt 21:10:12 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540843200.csv (13799977 entries, 2.02 G, cost 301456133 usec, 44.70 K/s)
Mo 29. Okt 21:15:49 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540843500.csv (12976286 entries, 1.90 G, cost 336839391 usec, 37.62 K/s)
Mo 29. Okt 21:19:08 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540843800.csv (12729373 entries, 1.86 G, cost 199713469 usec, 62.24 K/s)
Mo 29. Okt 21:23:33 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540844100.csv (14405723 entries, 2.11 G, cost 202842523 usec, 69.35 K/s)
Mo 29. Okt 21:28:09 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540844400.csv (13541937 entries, 1.98 G, cost 179458377 usec, 73.69 K/s)
Mo 29. Okt 21:33:18 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540844700.csv (13416657 entries, 1.97 G, cost 188702451 usec, 69.43 K/s)
